Country,Year,Population
Italy,1910,36529017
Italy,1911,36857936
Italy,1912,37082778
Italy,1913,37285296
Italy,1914,37562098
Italy,1915,37859548
Italy,1916,38010752
Italy,1917,37856484
Italy,1918,37559464
Italy,1919,37365256
Italy,1920,37422219
Italy,1921,37700706
Italy,1922,38054478
Italy,1923,38427238
Italy,1924,38786673
Italy,1925,39133783
Italy,1926,39479560
Italy,1927,39819674
Italy,1928,40141800
Italy,1929,40455931
Italy,1930,40771061
Italy,1931,41091521
Italy,1932,41411982
Italy,1933,41732109
Italy,1934,42064561
Italy,1935,42396680
Italy,1936,42721471
Italy,1937,43051259
Italy,1938,43422686
Italy,1939,43846746
Italy,1940,44284797
Italy,1941,44664219
Italy,1942,44942706
Italy,1943,45127920
Italy,1944,45273826
Italy,1945,45456375
Italy,1946,45706214
Italy,1947,46019013
Italy,1948,46354796
Italy,1949,46463649
Italy,1950,46598601
Italy,1951,47021900
Italy,1952,47411943
Italy,1953,47765978
Italy,1954,48084812
Italy,1955,48372842
Italy,1956,48638297
Italy,1957,48892969
Italy,1958,49151470
Italy,1959,49429946
Italy,1960,49742196
Italy,1961,50095597
Italy,1962,50487493
Italy,1963,50903660
Italy,1964,51322645
Italy,1965,51728664
Italy,1966,52115990
Italy,1967,52488486
Italy,1968,52851203
Italy,1969,53212820
Italy,1970,53578683
Italy,1971,53949930
Italy,1972,54321016
Italy,1973,54682627
Italy,1974,55022218
Italy,1975,55330694
Italy,1976,55604287
Italy,1977,55845068
Italy,1978,56057025
Italy,1979,56246800
Italy,1980,56419278
Italy,1981,56576504
Italy,1982,56717076
Italy,1983,56838675
Italy,1984,56937695
Italy,1985,57012352
Italy,1986,57061781
Italy,1987,57089451
Italy,1988,57103128
Italy,1989,57113159
Italy,1990,57127120
Italy,1991,57152516
Italy,1992,57188887
Italy,1993,57226647
Italy,1994,57251367
Italy,1995,57255193
Italy,1996,57229670
Italy,1997,57184901
Italy,1998,57153554
Italy,1999,57179989
Italy,2000,57293721
Italy,2001,57506367
Italy,2002,57801763
Italy,2003,58147037
Italy,2004,58494704
Italy,2005,58808483
Italy,2006,59079869
Italy,2007,59313511
Italy,2008,59502385
Italy,2009,59641853
Italy,2010,59729807
Italy,2011,59759929
Italy,2012,59733834
Italy,2013,59668000
Italy,2014,59585668
Italy,2015,59504212
Italy,2016,59429938
Italy,2017,59359900
Italy,2018,59290969
Italy,2019,59216525
Russia,1800,31088398
Russia,1801,31088398
Russia,1802,31088398
Russia,1803,31088398
Russia,1804,31088398
Russia,1805,31088398
Russia,1806,31088398
Russia,1807,31088398
Russia,1808,31088398
Russia,1809,31088398
Russia,1810,31088398
Russia,1811,31102069
Russia,1812,31129537
Russia,1813,31170930
Russia,1814,31226377
Russia,1815,31296006
Russia,1816,31379950
Russia,1817,31478339
Russia,1818,31591309
Russia,1819,31718992
Russia,1820,31861526
Russia,1821,32019047
Russia,1822,32191694
Russia,1823,32379606
Russia,1824,32582925
Russia,1825,32801792
Russia,1826,33036351
Russia,1827,33286748
